income,C50_PV,C50_prob1,rf_PV,rf_prob1
<=50K,<=50K,0.0515902504944718,<=50K,0.108
<=50K,<=50K,0.41931841562468,<=50K,0.096
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.109654230217064,<=50K,0.012
<=50K,>50K,0.705533577111178,<=50K,0.344
<=50K,>50K,0.705533577111178,>50K,0.57
<=50K,<=50K,0.0515902504944718,<=50K,0.004
>50K,<=50K,0.282552450465376,<=50K,0.39
>50K,>50K,0.98591203818769,>50K,0.986
>50K,>50K,0.705533577111178,>50K,0.984
>50K,>50K,0.595706978359167,>50K,0.776
>50K,>50K,0.705533577111178,>50K,0.692
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.0515902504944718,<=50K,0.024
<=50K,<=50K,0.109654230217064,<=50K,0.01
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.109654230217064,<=50K,0.12
>50K,<=50K,0.0515902504944718,>50K,0.512
>50K,>50K,0.705533577111178,>50K,0.986
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.109654230217064,<=50K,0.13
<=50K,<=50K,0.109654230217064,<=50K,0.002
<=50K,<=50K,0.0515902504944718,<=50K,0
>50K,>50K,0.705533577111178,>50K,0.824
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.0515902504944718,<=50K,0.046
<=50K,<=50K,0.390631397342524,<=50K,0.028
<=50K,<=50K,0.0515902504944718,<=50K,0.022
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.0515902504944718,<=50K,0.138
<=50K,<=50K,0.223917476691331,<=50K,0.432
<=50K,<=50K,0.223917476691331,<=50K,0.012
<=50K,<=50K,0.0515902504944718,<=50K,0.028
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.223917476691331,<=50K,0.052
<=50K,<=50K,0.282552450465376,<=50K,0.338
<=50K,<=50K,0.109654230217064,<=50K,0.006
<=50K,>50K,0.705533577111178,>50K,0.87
<=50K,>50K,0.705533577111178,<=50K,0.108
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.0515902504944718,<=50K,0
>50K,>50K,0.705533577111178,>50K,0.948
<=50K,<=50K,0.390631397342524,<=50K,0.116
<=50K,<=50K,0.0515902504944718,<=50K,0.132
<=50K,<=50K,0.419935791952983,<=50K,0.112
<=50K,<=50K,0.0515902504944718,<=50K,0.03
<=50K,<=50K,0.223917476691331,<=50K,0.128
>50K,>50K,0.705533577111178,>50K,0.986
>50K,<=50K,0.0515902504944718,>50K,0.898
<=50K,<=50K,0.0515902504944718,<=50K,0.036
>50K,<=50K,0.419935791952983,<=50K,0.044
<=50K,<=50K,0.109654230217064,<=50K,0
<=50K,<=50K,0.223917476691331,<=50K,0.16
<=50K,<=50K,0.390631397342524,<=50K,0.098
<=50K,<=50K,0.223917476691331,<=50K,0.012
<=50K,>50K,0.705533577111178,<=50K,0.444
<=50K,<=50K,0.390631397342524,<=50K,0
>50K,>50K,0.705533577111178,>50K,0.934
<=50K,<=50K,0.0515902504944718,<=50K,0.004
<=50K,<=50K,0.390631397342524,<=50K,0
<=50K,<=50K,0.0515902504944718,<=50K,0
>50K,<=50K,0.390631397342524,<=50K,0.17
>50K,>50K,0.595706978359167,>50K,0.96
<=50K,<=50K,0.0515902504944718,<=50K,0.002
<=50K,<=50K,0.0515902504944718,<=50K,0.002
>50K,>50K,0.705533577111178,>50K,0.624
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.183296057386182,<=50K,0.09
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.419935791952983,<=50K,0.348
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.109654230217064,<=50K,0.002
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,>50K,0.705533577111178,<=50K,0.372
<=50K,<=50K,0.390631397342524,<=50K,0.168
<=50K,<=50K,0.390631397342524,<=50K,0.17
>50K,>50K,0.98591203818769,>50K,0.996
<=50K,<=50K,0.0515902504944718,<=50K,0
>50K,<=50K,0.390631397342524,<=50K,0.078
<=50K,>50K,0.705533577111178,>50K,0.814
<=50K,<=50K,0.0515902504944718,<=50K,0.002
>50K,<=50K,0.0515902504944718,>50K,0.928
<=50K,>50K,0.532826714195455,>50K,0.528
<=50K,<=50K,0.0515902504944718,<=50K,0.02
<=50K,<=50K,0.0515902504944718,<=50K,0
>50K,>50K,0.705533577111178,>50K,0.748
<=50K,<=50K,0.0515902504944718,<=50K,0.066
>50K,>50K,0.705533577111178,>50K,0.692
>50K,>50K,0.595706978359167,<=50K,0.478
<=50K,<=50K,0.0515902504944718,<=50K,0.06
<=50K,<=50K,0.0515902504944718,<=50K,0
>50K,>50K,0.705533577111178,>50K,0.746
>50K,>50K,0.98591203818769,>50K,1
<=50K,<=50K,0.0515902504944718,<=50K,0.084
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.0515902504944718,<=50K,0
>50K,>50K,0.98591203818769,>50K,0.986
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.390631397342524,<=50K,0
<=50K,<=50K,0.0515902504944718,<=50K,0
>50K,>50K,0.705533577111178,>50K,0.936
>50K,<=50K,0.282552450465376,>50K,0.724
<=50K,<=50K,0.223917476691331,<=50K,0.034
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.109654230217064,<=50K,0.282
<=50K,>50K,0.595706978359167,>50K,0.8
>50K,>50K,0.532826714195455,>50K,0.69
<=50K,>50K,0.595706978359167,>50K,0.538
<=50K,<=50K,0.0515902504944718,<=50K,0.012
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,>50K,0.705533577111178,>50K,0.936
<=50K,<=50K,0.0515902504944718,<=50K,0.04
>50K,>50K,0.705533577111178,>50K,0.794
<=50K,<=50K,0.0515902504944718,<=50K,0
>50K,>50K,0.705533577111178,>50K,0.956
<=50K,<=50K,0.0515902504944718,<=50K,0
>50K,<=50K,0.223917476691331,<=50K,0.156
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.0515902504944718,<=50K,0.002
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.282552450465376,<=50K,0.102
<=50K,>50K,0.705533577111178,>50K,0.998
<=50K,<=50K,0.0515902504944718,<=50K,0
>50K,>50K,0.705533577111178,>50K,0.922
<=50K,<=50K,0.282552450465376,<=50K,0
<=50K,<=50K,0.223917476691331,<=50K,0.116
<=50K,<=50K,0.0515902504944718,<=50K,0
>50K,>50K,0.532826714195455,>50K,0.826
<=50K,<=50K,0.390631397342524,<=50K,0.468
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.0515902504944718,<=50K,0
>50K,<=50K,0.0515902504944718,<=50K,0.212
<=50K,<=50K,0.0515902504944718,<=50K,0.082
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.223917476691331,<=50K,0
<=50K,<=50K,0.0515902504944718,<=50K,0
<=50K,<=50K,0.109654230217064,<=50K,0.022
<=50K,<=50K,0.0515902504944718,<=50K,0.008
